part,progressive_stage,scientific_question,key_evidence,effect,ci95_domains,narrative_conclusion,control_boundary,source_claim_ids,source_artifacts,source_hashes,canonical_authority_hash
Part I,I1 Spatial enrichment,Does spatial internal morphology enrich residual-capacity information?,Matched scalar and surface references versus selected B-family spatial field,MAE 0.18920 to 0.12849; reduction 0.06072 (32.1%),"familywise 95% CI [0.00664, 0.15364]; favorable 5/6 domains",Spatial morphology adds CAI-relevant information beyond lower-dimensional inputs.,"The 0.08964 independent field estimate is sensitivity-only, not the matched confirmatory path.",U1_MATCHED_FIELD;U1_SURFACE_FIELD;U1_INDEPENDENT_FIELD_SENSITIVITY,results/p1_full_field_oracle/metrics.json;results/p1_full_field_oracle/domain_metrics.csv,73bcf2112e62f756ff8055f49e89147c9f70f36ef5c5c276cdc76f666e8ab18b;0d0cff63f7f63d55f02f47eea21a8c2c88e51860144ae15565941822dcd9ff49,f0d2615637a6470744f275a2ac6e1c5e7aff110ca7e31cb323793c29405be4e6
Part I,I2 Sparse recoverability,How much registered full-field information survives sparse observation?,Selected 25% bilinear sparse field versus surface and full-field references,89.9% gain retained; sparse-to-full MAE gap 0.00602,"gap 95% CI [0.00173, 0.01083]; favorable 5/6 versus surface and 0/6 versus full",Sparse observations preserve most of the registered spatial gain.,Native-raster fraction is not physical scanner time and sparse is not equivalent to full field.,U2_SPARSE_RETENTION;U2_SPARSE_GAIN;U2_SPARSE_FULL_GAP,results/p5_sparse_scan/retention.csv;results/p5_sparse_scan/bootstrap.csv,f6aead6cb054294018cdd2ac309140fc46fac02ac30574e8f4841ae8e9960bf6;6dac2a094b77e380445f67e48b3c93f813b6e8be7948672448ad593778f3ab57,f0d2615637a6470744f275a2ac6e1c5e7aff110ca7e31cb323793c29405be4e6
Part I,I3 Spatial heterogeneity,Is task-relevant measurement opportunity spatially heterogeneous?,One-shot mechanical oracle versus uniform and reconstruction oracles,CAI-AUEBC improvements 0.00391 and 0.00373; 56.8% sequential headroom retained,"95% CIs [0.00280, 0.00502] and [0.00284, 0.00469]; favorable 6/6",Specimen-specific spatial acquisition headroom exists retrospectively.,All oracle rows use unavailable counterfactual outcomes and are non-deployable.,U3_UNIFORM_ORACLE;U3_RECONSTRUCTION_ORACLE;U3_HEADROOM_RETENTION,results/mvd/m0_one_shot_oracle/summary.json,a8abea8c6452855e7e975227948706f153ed72791dc441018865c1c616ccd57d,f0d2615637a6470744f275a2ac6e1c5e7aff110ca7e31cb323793c29405be4e6
Part I,I4 Objective conditioning,Do downstream objectives induce distinct measurement priorities?,Mechanical and registered normalized-RGB-MSE reconstruction oracles plus learned global masks,CAI contrast 0.04862; image-MSE contrast 5.503e-4; learned indicator 0,"95% CIs [0.04527, 0.05205] and [5.006e-4, 6.063e-4]",Retrospective priorities are objective-conditioned.,Learned global masks do not reproduce the oracle separation or establish deployment value.,U4_ORACLE_CAI_SPECIFICITY;U4_ORACLE_IMAGE_SPECIFICITY;U4_LEARNED_SPECIFICITY_BOUNDARY,results/mavis_science_closure/p14_task_specificity/summary.json,26710df19821e5e6edbe333d7c105f2b2bbddb1cf783eb3a64910bb691b6004d,f0d2615637a6470744f275a2ac6e1c5e7aff110ca7e31cb323793c29405be4e6
Part I,I5 State conditioning,Does measurement value evolve with inspection state?,Strict-OOF retrospective teacher from initial state to 18.75% checkpoint,70.4% best-action turnover; rank 0.405; top-5 overlap 0.307; opportunity 0.00531,descriptive across 276 specimens and 6 held-out domains,A fixed initial ranking omits material state-conditioned value evolution.,Teacher evolution does not show that the deployable scorer observes the change.,O2_TEACHER_TURNOVER;O2_TEACHER_RANK;O2_TEACHER_TOPK;O2_TEACHER_OPPORTUNITY,results/mavis_science_closure/p9_value_evolution/summary.json,7949e0828d3a2ceafa91ef211f828329ed54a7e01b2bdf11e8ab33ed7d601e28,f0d2615637a6470744f275a2ac6e1c5e7aff110ca7e31cb323793c29405be4e6
Part I,I6 Predictor conditioning,How does downstream predictor choice bound the task-value definition?,Ridge-Huber and Ridge-shallow-MLP strict-OOF value agreement,"Spearman 0.762 versus 0.116; full-state MAE 0.08964, 0.08618, 0.15067","rank CIs [0.699, 0.821] and [0.069, 0.164]; 6 held-out domains",Value is stable between comparably performing low-complexity predictors.,The shallow MLP is substantially less accurate; equally accurate structurally distinct predictors remain unresolved.,U5_RIDGE_HUBER_SPEARMAN;U5_RIDGE_HUBER_BEST_ACTION;U5_RIDGE_HUBER_TOPK;U5_RIDGE_MLP_SPEARMAN;U5_RIDGE_MLP_BEST_ACTION;U5_RIDGE_MLP_TOPK,results/mavis_science_closure/p15_value_stability/summary.json,55d697ad2aa78e7e0ddd9b471d4cbdc58db0c22a39aa36879a903858804ffb45,f0d2615637a6470744f275a2ac6e1c5e7aff110ca7e31cb323793c29405be4e6
Part II,II1 Static reference,What reference motivates state-conditioned valuation?,Static legal-state scorer with global and random exact-budget controls,static Spearman -0.0196; set regret 0.08171 versus 0.07993 and 0.07978,"rank 95% CI [-0.0591, 0.0195]; favorable 3/6 domains",The static reference motivates conditional valuation.,This tested representation does not imply information-theoretic impossibility.,O1_STATIC_SPEARMAN;O1_STATIC_SET_REGRET;O1_GLOBAL_SET_REGRET;O1_RANDOM_SET_REGRET,results/mvd/m1_observability/bootstrap.csv;results/mvd/m1_observability/model_metrics.csv,d1c0fb6e67755fae44292e67c95194bf6fbb096fe6a191d9cb8ec871fcfba58f;fe33fb2fc3900711af021243085d51deb7b4fe33e1e07fca398cc49724d40c53,f0d2615637a6470744f275a2ac6e1c5e7aff110ca7e31cb323793c29405be4e6
Part II,II2 Dynamic valuation,Does state-conditioned scoring capture incremental dependence?,Dynamic real-state scorer versus static scorer at 18.75%,dynamic minus static regret -0.001260,"95% CI [-0.002123, -0.000444]; favorable 5/6 domains",Dynamic valuation improves over the static reference.,The comparison alone does not identify which state-information source drives the gain.,O4_DYNAMIC_MINUS_STATIC,results/mavis_science_closure/p11_dynamic_valuation/summary.json,75b590bc853ac23fe5bc394de3c4a08b66566553f0b2e23a67268420261da558,f0d2615637a6470744f275a2ac6e1c5e7aff110ca7e31cb323793c29405be4e6
Part II,II3 Information-source attribution,Which legal-state information licenses content attribution?,"Real content versus initial, acquired-position/history, reconstruction, and shuffled controls",real change -0.000731; real-minus-history 0.01740; real-minus-reconstruction 0.03419; real-minus-shuffled 2.328e-4,all matched-control CIs exclude 0; real favorable 1/6 for each source control,"Real measurements change prediction, while matched controls localize the decision signal.",Acquired-position/history is not geometry-only; reconstruction is registered normalized-RGB-MSE; shuffled remains the dynamic boundary.,O3_REAL_CHANGE;O3_FULL_FIELD_RECOVERY;O3_REAL_MINUS_POSITIONS;O3_REAL_MINUS_RECONSTRUCTION;O4_DYNAMIC_MINUS_SHUFFLED,results/mavis_science_closure/p10_mris_causal/summary.json;results/mavis_science_closure/p10_mris_causal/contrasts.csv;results/mavis_science_closure/p11_dynamic_valuation/summary.json,d161da85af81698e626093e35e8a21347abc23f123987a3c33cb1200acc7bbb4;809c03866789067335baef37c6cb668e35a8eae7b4bdc49748d6b125b66a18c5;75b590bc853ac23fe5bc394de3c4a08b66566553f0b2e23a67268420261da558,f0d2615637a6470744f275a2ac6e1c5e7aff110ca7e31cb323793c29405be4e6
Part II,II4 Valuation/planning decomposition,Where does controlled component headroom reside?,Privileged valuation and bounded planning substitutions,valuation 4.979e-5; learned planning 3.164e-6; true-value planning 1.117e-4,"95% CIs [1.845e-5, 8.105e-5], [1.411e-7, 6.250e-6], [9.898e-5, 1.248e-4]",Valuation and planning contribute distinguishable retrospective headroom.,Substitutions are diagnostic and non-deployable; no representation bottleneck is claimed.,A1_VALUATION_SUBSTITUTION;A1_LEARNED_PLANNING_SUBSTITUTION;A1_TRUE_VALUE_PLANNING_SUBSTITUTION,results/mavis_science_closure/p12_rvp_attribution/summary.json,c75e034b89e1f249185e1e389ce305bd6455dd6f2b46ede3d6fd9e8e9eee1040,f0d2615637a6470744f275a2ac6e1c5e7aff110ca7e31cb323793c29405be4e6
