title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
"Deep learning for predicting impact energy and compression after impact strength of composite materials using C-scan images",2026,Advanced Engineering Informatics,https://www.sciencedirect.com/science/article/pii/S1474034626002107,application-driven,5,5,5,Risk,Closest AEI C-scan-to-CAI image-prediction precedent,Publisher abstract and metrics accessible; top-level structure not exposed
"Physics-guided generative surrogate modeling for full-field plasticity prediction in Al/SiC nanocomposites",2026,Advanced Engineering Informatics,https://www.sciencedirect.com/science/article/pii/S1474034626006919,application-driven,4,4,5,A,Full-field composite response and knowledge-intensive surrogate framing,Publisher exposes core section pattern and numerical claims
"Knowledge design in complex domains",2026,Advanced Engineering Informatics,https://www.sciencedirect.com/science/article/pii/S1474034626008268,theory/framework,5,4,3,A,Direct journal-level knowledge-intensive decision-support framing,Issue dated November 2026; top-level structure not exposed
"Graph attention networks enhanced predictive modeling for penetration-explosion damage in concrete structures",2026,Advanced Engineering Informatics,https://www.sciencedirect.com/science/article/pii/S1474034626003587,application-driven,3,3,4,B,Recent engineering-damage prediction structure comparator,Publisher abstract accessible; section structure not exposed
"Multi-model structure-agnostic framework for enhanced materials discovery in engineering informatics",2026,Advanced Engineering Informatics,https://www.sciencedirect.com/science/article/pii/S1474034626007305,pure method,3,3,4,B,Recent material-informatics framework comparator,Only Introduction heading exposed
"Integrating context awareness and knowledge graphs for enhanced knowledge recommendation in manufacturing process planning",2026,Advanced Engineering Informatics,https://www.sciencedirect.com/science/article/pii/S1474034626000169,application-driven,5,4,4,A,Context-conditioned knowledge value and separate case-study precedent,Publisher exposes several section snippets
"Intelligent detection method for debonding and voids in concrete-filled steel/aluminum tubular structures based on impact acoustics and unsupervised learning",2026,Advanced Engineering Informatics,https://www.sciencedirect.com/science/article/pii/S1474034625008171,application-driven,4,5,5,A,Inspection paper with related work method validation and real-bridge sections,Publisher exposes extensive section snippets and numerical validation
"Semantic-driven spatial fusion for noise-resilient distance measurement in autonomous inspection of insulators",2026,Advanced Engineering Informatics,https://www.sciencedirect.com/science/article/pii/S1474034625007165,application-driven,4,4,5,A,Autonomous inspection and information-fusion comparator,Publisher exposes Introduction Methodology and Conclusion
"Multi-LLM-based augmentation and synthetic data generation of construction schedules and task descriptions with SLM-as-a-judge assessment",2026,Advanced Engineering Informatics,https://www.sciencedirect.com/science/article/pii/S1474034625007189,application-driven,3,3,4,B,Recent AEI dataset and evaluation organization comparator,Only partial section snippets exposed
"FMANet: Fused mamba attention model with multi-type preprocessing for simulated crack-contaminated complex environments",2026,Advanced Engineering Informatics,https://www.sciencedirect.com/science/article/pii/S1474034625007013,pure method,3,5,5,B,Recent infrastructure-inspection method and experiment structure comparator,Publisher exposes explicit five-section organization sentence
