claim_id,paper_layer,source_stage,chronology_class,evidence_frozen_before_p7,analysis_created_after_p7,used_to_modify_p7,source_path,manuscript_role,allowed_description,forbidden_description
U1_MATCHED_FIELD,Useful,P1_FULL_FIELD,PRE_P7_FROZEN_EVIDENCE,true,false,true,results/p1_full_field_oracle/metrics.json,headline,frozen evidence available before the outer endpoint was finalized,post-freeze diagnostic or proof that the outer endpoint was superior
U1_SURFACE_FIELD,Useful,P1_FULL_FIELD,PRE_P7_FROZEN_EVIDENCE,true,false,true,results/p1_full_field_oracle/metrics.json,related,frozen evidence available before the outer endpoint was finalized,post-freeze diagnostic or proof that the outer endpoint was superior
U1_INDEPENDENT_FIELD_SENSITIVITY,Useful,P1_FULL_FIELD,PRE_P7_FROZEN_EVIDENCE,true,false,true,results/p1_full_field_oracle/domain_metrics.csv,sensitivity,frozen evidence available before the outer endpoint was finalized,post-freeze diagnostic or proof that the outer endpoint was superior
U2_SPARSE_RETENTION,Useful,P5_SPARSE_SCAN,PRE_P7_FROZEN_EVIDENCE,true,false,true,results/p5_sparse_scan/retention.csv,headline,frozen evidence available before the outer endpoint was finalized,post-freeze diagnostic or proof that the outer endpoint was superior
U2_SPARSE_GAIN,Useful,P5_SPARSE_SCAN,PRE_P7_FROZEN_EVIDENCE,true,false,true,results/p5_sparse_scan/bootstrap.csv,supporting,frozen evidence available before the outer endpoint was finalized,post-freeze diagnostic or proof that the outer endpoint was superior
U2_SPARSE_FULL_GAP,Useful,P5_SPARSE_SCAN,PRE_P7_FROZEN_EVIDENCE,true,false,true,results/p5_sparse_scan/bootstrap.csv,boundary,frozen evidence available before the outer endpoint was finalized,post-freeze diagnostic or proof that the outer endpoint was superior
U3_UNIFORM_ORACLE,Useful,MVD_M0,PRE_P7_FROZEN_EVIDENCE,true,false,true,results/mvd/m0_one_shot_oracle/summary.json,headline,frozen evidence available before the outer endpoint was finalized,post-freeze diagnostic or proof that the outer endpoint was superior
U3_RECONSTRUCTION_ORACLE,Useful,MVD_M0,PRE_P7_FROZEN_EVIDENCE,true,false,true,results/mvd/m0_one_shot_oracle/summary.json,supporting,frozen evidence available before the outer endpoint was finalized,post-freeze diagnostic or proof that the outer endpoint was superior
U3_HEADROOM_RETENTION,Useful,MVD_M0,PRE_P7_FROZEN_EVIDENCE,true,false,true,results/mvd/m0_one_shot_oracle/summary.json,supporting,frozen evidence available before the outer endpoint was finalized,post-freeze diagnostic or proof that the outer endpoint was superior
U3_CAI_VS_APPEARANCE_SALIENCY_AUEBC,Useful,MVA_A2_ORACLE_VALUE,PRE_P7_FROZEN_EVIDENCE,true,false,true,results/mva/a2_oracle_value/bootstrap.csv,headline,frozen evidence available before the outer endpoint was finalized,post-freeze diagnostic or proof that the outer endpoint was superior
U4_CAI_SALIENCY_MAP_SPEARMAN,Useful,MVA_A2_ORACLE_VALUE,PRE_P7_FROZEN_EVIDENCE,true,false,true,results/mva/a2_oracle_value/map_similarity.csv,supporting,frozen evidence available before the outer endpoint was finalized,post-freeze diagnostic or proof that the outer endpoint was superior
U4_CAI_SALIENCY_TOP10_OVERLAP,Useful,MVA_A2_ORACLE_VALUE,PRE_P7_FROZEN_EVIDENCE,true,false,true,results/mva/a2_oracle_value/map_similarity.csv,supporting,frozen evidence available before the outer endpoint was finalized,post-freeze diagnostic or proof that the outer endpoint was superior
