claim_id,canonical_layer,chronology_class,new_part,new_stage,narrative_role,main_or_supporting,positive_headline,required_boundary,source_artifact,figure_assignment,table_assignment,manuscript_assignment,narrative_visibility
U1_MATCHED_FIELD,Useful,PRE_P7_FROZEN_EVIDENCE,PART_I,I-A_SPATIAL_AND_SPARSE,headline,main,Spatial information matters and most of its gain survives sparse observation,B_field_selected is the matched confirmatory estimator,results/p1_full_field_oracle/metrics.json,figure2a,table2,5.1.1,MAIN_REQUIRED
U1_SURFACE_FIELD,Useful,PRE_P7_FROZEN_EVIDENCE,PART_I,I-A_SPATIAL_AND_SPARSE,related_contrast,supporting,Spatial information matters and most of its gain survives sparse observation,Does not imply surface-to-field reconstruction,results/p1_full_field_oracle/metrics.json,figure2a,table2,5.1.1,MAIN_OPTIONAL
U1_INDEPENDENT_FIELD_SENSITIVITY,Useful,PRE_P7_FROZEN_EVIDENCE,PART_I,I-A_SPATIAL_AND_SPARSE,sensitivity,supplement,Spatial information matters and most of its gain survives sparse observation,I_field_selected is sensitivity evidence only,results/p1_full_field_oracle/domain_metrics.csv,none,none,none,SUPPLEMENT_REQUIRED
U2_SPARSE_RETENTION,Useful,PRE_P7_FROZEN_EVIDENCE,PART_I,I-A_SPATIAL_AND_SPARSE,headline,main,Spatial information matters and most of its gain survives sparse observation,Native-raster fraction is not scanner time,results/p5_sparse_scan/retention.csv,figure2a,table2,5.1.1,MAIN_REQUIRED
U2_SPARSE_GAIN,Useful,PRE_P7_FROZEN_EVIDENCE,PART_I,I-A_SPATIAL_AND_SPARSE,supporting,supporting,Spatial information matters and most of its gain survives sparse observation,Sparse observation is not equivalent to the full field,results/p5_sparse_scan/bootstrap.csv,figure2a,table2,5.1.1,MAIN_OPTIONAL
U2_SPARSE_FULL_GAP,Useful,PRE_P7_FROZEN_EVIDENCE,PART_I,I-A_SPATIAL_AND_SPARSE,recovery_boundary,supporting,Spatial information matters and most of its gain survives sparse observation,Residual gap quantifies incomplete recovery,results/p5_sparse_scan/bootstrap.csv,figure2a,table2,5.1.1,MAIN_OPTIONAL
U3_UNIFORM_ORACLE,Useful,PRE_P7_FROZEN_EVIDENCE,PART_I,I-B_TASK_CONDITIONED_SPATIAL_VALUE,headline,main,Acquisition opportunity is spatially heterogeneous and depends on the downstream task,Oracle is retrospective and non-deployable,results/mvd/m0_one_shot_oracle/summary.json,figure2b,table2,5.1.2,MAIN_REQUIRED
U3_RECONSTRUCTION_ORACLE,Useful,PRE_P7_FROZEN_EVIDENCE,PART_I,I-B_TASK_CONDITIONED_SPATIAL_VALUE,supporting,main,Acquisition opportunity is spatially heterogeneous and depends on the downstream task,Oracle is retrospective and non-deployable,results/mvd/m0_one_shot_oracle/summary.json,figure2b,table2,5.1.2,MAIN_REQUIRED
U3_HEADROOM_RETENTION,Useful,PRE_P7_FROZEN_EVIDENCE,PART_I,I-B_TASK_CONDITIONED_SPATIAL_VALUE,supporting,supporting,Acquisition opportunity is spatially heterogeneous and depends on the downstream task,One-shot oracle is not a deployable or additive policy,results/mvd/m0_one_shot_oracle/summary.json,figure2b,table2,5.1.2,MAIN_OPTIONAL
U4_ORACLE_CAI_SPECIFICITY,Useful,POST_P7_DIAGNOSTIC,PART_I,I-B_TASK_CONDITIONED_SPATIAL_VALUE,headline,main,Acquisition opportunity is spatially heterogeneous and depends on the downstream task,Oracle evidence does not prove learned-policy specificity,results/mavis_science_closure/p14_task_specificity/summary.json,figure2b,table2,5.1.2,MAIN_REQUIRED
U4_ORACLE_IMAGE_SPECIFICITY,Useful,POST_P7_DIAGNOSTIC,PART_I,I-B_TASK_CONDITIONED_SPATIAL_VALUE,headline,main,Acquisition opportunity is spatially heterogeneous and depends on the downstream task,Scope is the registered normalized-RGB-MSE reconstruction objective,results/mavis_science_closure/p14_task_specificity/summary.json,figure2b,table2,5.1.2,MAIN_REQUIRED
U4_LEARNED_SPECIFICITY_BOUNDARY,Useful,POST_P7_DIAGNOSTIC,PART_I,I-B_TASK_CONDITIONED_SPATIAL_VALUE,learned_boundary,supplement,Acquisition opportunity is spatially heterogeneous and depends on the downstream task,Learned global mechanics mask does not reproduce oracle separation,results/mavis_science_closure/p14_task_specificity/summary.json,none,none,none,SUPPLEMENT_REQUIRED
U5_RIDGE_HUBER_SPEARMAN,Useful,POST_P7_DIAGNOSTIC,PART_I,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,agreement,main,Measurement value changes with accumulated evidence and the downstream predictor,Value is not an intrinsic coordinate property,results/mavis_science_closure/p15_value_stability/summary.json,figure2d,table2,5.1.3,MAIN_REQUIRED
U5_RIDGE_HUBER_BEST_ACTION,Useful,POST_P7_DIAGNOSTIC,PART_I,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,agreement,supplement,Measurement value changes with accumulated evidence and the downstream predictor,Value is not an intrinsic coordinate property,results/mavis_science_closure/p15_value_stability/summary.json,none,none,none,SUPPLEMENT_REQUIRED
U5_RIDGE_HUBER_TOPK,Useful,POST_P7_DIAGNOSTIC,PART_I,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,agreement,supplement,Measurement value changes with accumulated evidence and the downstream predictor,Value is not an intrinsic coordinate property,results/mavis_science_closure/p15_value_stability/summary.json,none,none,none,SUPPLEMENT_REQUIRED
U5_RIDGE_MLP_SPEARMAN,Useful,POST_P7_DIAGNOSTIC,PART_I,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,dependence_boundary,supporting,Measurement value changes with accumulated evidence and the downstream predictor,Equal-accuracy structurally distinct predictors remain unresolved,results/mavis_science_closure/p15_value_stability/summary.json,figure2d,table2,5.1.3,MAIN_OPTIONAL
U5_RIDGE_MLP_BEST_ACTION,Useful,POST_P7_DIAGNOSTIC,PART_I,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,dependence_boundary,supplement,Measurement value changes with accumulated evidence and the downstream predictor,Equal-accuracy structurally distinct predictors remain unresolved,results/mavis_science_closure/p15_value_stability/summary.json,none,none,none,SUPPLEMENT_REQUIRED
U5_RIDGE_MLP_TOPK,Useful,POST_P7_DIAGNOSTIC,PART_I,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,dependence_boundary,supplement,Measurement value changes with accumulated evidence and the downstream predictor,Equal-accuracy structurally distinct predictors remain unresolved,results/mavis_science_closure/p15_value_stability/summary.json,none,none,none,SUPPLEMENT_REQUIRED
O1_STATIC_SPEARMAN,Observable,PRE_P7_FROZEN_EVIDENCE,PART_II,II-A_STATE_CONDITIONED_VALUATION,static_reference,supporting,State-conditioned valuation improves next-action estimation over the static reference,Does not prove information-theoretic unobservability,results/mvd/m1_observability/bootstrap.csv,figure3a,table2,5.2.1,MAIN_OPTIONAL
O1_STATIC_SET_REGRET,Observable,PRE_P7_FROZEN_EVIDENCE,PART_II,II-A_STATE_CONDITIONED_VALUATION,static_control,supplement,State-conditioned valuation improves next-action estimation over the static reference,Increased model capacity is not licensed as a solution,results/mvd/m1_observability/model_metrics.csv,none,none,none,SUPPLEMENT_REQUIRED
O1_GLOBAL_SET_REGRET,Observable,PRE_P7_FROZEN_EVIDENCE,PART_II,II-A_STATE_CONDITIONED_VALUATION,static_control,supplement,State-conditioned valuation improves next-action estimation over the static reference,Reference is not a learned superiority result,results/mvd/m1_observability/model_metrics.csv,none,none,none,SUPPLEMENT_REQUIRED
O1_RANDOM_SET_REGRET,Observable,PRE_P7_FROZEN_EVIDENCE,PART_II,II-A_STATE_CONDITIONED_VALUATION,static_control,supplement,State-conditioned valuation improves next-action estimation over the static reference,Reference is not a learned superiority result,results/mvd/m1_observability/model_metrics.csv,none,none,none,SUPPLEMENT_REQUIRED
O2_TEACHER_TURNOVER,Observable,POST_P7_DIAGNOSTIC,PART_I,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,headline,main,Measurement value changes with accumulated evidence and the downstream predictor,Teacher target is retrospective and non-deployable,results/mavis_science_closure/p9_value_evolution/summary.json,figure2c,table2,5.1.3,MAIN_REQUIRED
O2_TEACHER_RANK,Observable,POST_P7_DIAGNOSTIC,PART_I,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,supporting,supporting,Measurement value changes with accumulated evidence and the downstream predictor,Does not show that a deployable scorer tracks evolution,results/mavis_science_closure/p9_value_evolution/summary.json,figure2c,table2,5.1.3,MAIN_OPTIONAL
O2_TEACHER_TOPK,Observable,POST_P7_DIAGNOSTIC,PART_I,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,supporting,supporting,Measurement value changes with accumulated evidence and the downstream predictor,Does not show that a deployable scorer tracks evolution,results/mavis_science_closure/p9_value_evolution/summary.json,figure2c,table2,5.1.3,MAIN_OPTIONAL
O2_TEACHER_OPPORTUNITY,Observable,POST_P7_DIAGNOSTIC,PART_I,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,headline,supporting,Measurement value changes with accumulated evidence and the downstream predictor,Does not show that a deployable scorer captures the opportunity,results/mavis_science_closure/p9_value_evolution/summary.json,figure2c,table2,5.1.3,MAIN_OPTIONAL
